Year,State,Male
2019,Alaska,19315
2019,Arizona,317671
2019,Arkansas,153953
2019,California,1587883
2019,Colorado,160465
2019,Connecticut,142852
2019,Delaware,51509
2019,District of Columbia,22801
2019,Florida,1069182
2019,Georgia,432054
2019,Hawaii,62551
2019,Idaho,70123
2019,Illinois,562141
2019,Indiana,341574
2019,Iowa,133177
2019,Kansas,122050
2019,Kentucky,232506
2019,Louisiana,224826
2019,Maine,60062
2019,Maryland,258576
2019,Massachusetts,248041
2019,Michigan,439013
2019,Minnesota,198201
2019,Mississippi,154823
2019,Missouri,243651
2019,Montana,32281
2019,Nebraska,78879
2019,Nevada,134765
2019,New Hampshire,55720
2019,New Mexico,95083
2019,New York,792393
2019,North Carolina,423356
2019,North Dakota,28153
2019,Ohio,563443
2019,Oklahoma,189464
2019,Oregon,141292
2019,Pennsylvania,523930
2019,Rhode Island,48120
2019,South Carolina,260230
2019,South Dakota,39987
2019,Tennessee,370775
2019,Texas,1386077
2019,Utah,96515
2019,Vermont,23482
2019,Virginia,374400
2019,Washington,298901
2019,West Virginia,113025
2019,Wisconsin,209641
2019,Wyoming,17858
2019,Guam,7175
2019,Puerto Rico,206471
2020,Virgin Islands of the U.S.,
2020,Alabama,289779
2020,Alaska,22814
2020,Arizona,345048
2020,Arkansas,139484
2020,California,1549563
2020,Colorado,175676
2020,Connecticut,142243
2020,Delaware,50733
2020,District of Columbia,19545
2020,Florida,990276
2020,Georgia,443567
2020,Hawaii,64605
2020,Idaho,62126
2020,Illinois,538101
2020,Indiana,298577
2020,Iowa,120592
2020,Kansas,121006
2020,Kentucky,228026
2020,Louisiana,228909
2020,Maine,60541
2020,Maryland,235937
2020,Massachusetts,238470
2020,Michigan,502450
2020,Minnesota,208735
2020,Mississippi,158727
2020,Missouri,271887
2020,Montana,40055
2020,Nebraska,76095
2020,Nevada,151134
2020,New Hampshire,52248
2020,New Jersey,375592
2020,New Mexico,105282
2020,New York,794608
2020,North Carolina,494993
2020,North Dakota,31038
2020,Ohio,521669
2020,Oklahoma,196200
2020,Oregon,158908
2020,Pennsylvania,613408
2020,Rhode Island,45054
2020,South Carolina,263856
2020,South Dakota,28498
2020,Tennessee,417880
2020,Texas,1520478
2020,Utah,100857
2020,Vermont,21687
2020,Virginia,372712
2020,Washington,268452
2020,West Virginia,117927
2020,Wisconsin,206251
2020,Wyoming,19272
2020,Guam,8485
2020,Puerto Rico,193424
