Year,State,Non-Hispanic White
2020,Missouri,399632
2020,Montana,61379
2020,Nebraska,113470
2020,Nevada,136642
2020,New Hampshire,87266
2020,New Jersey,309870
2020,New Mexico,54757
2020,New York,690196
2020,North Carolina,625030
2020,North Dakota,45774
2020,Ohio,841756
2020,Oklahoma,253329
2020,Oregon,252552
2020,Pennsylvania,815634
2020,Rhode Island,61591
2020,South Carolina,329483
2020,South Dakota,45605
2020,Tennessee,550422
2020,Texas,1000655
2020,Utah,144319
2020,Vermont,36608
2020,Virginia,413884
2020,Washington,362308
2020,West Virginia,203405
2020,Wisconsin,345580
2020,Wyoming,29929
2020,Guam,402
2020,Puerto Rico,
